Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,4.852030263919617
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,4.852030263919617
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,4.189654742026425
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4.787491742782046
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,4.948759890378168
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,5.58724865840025
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,4.553876891600541
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5.062595033026967
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5.123963979403259
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,5.855071922202427
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,4.248495242049359
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4.6913478822291435
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,5.298317366548036
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4.736198448394496
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2.833213344056216
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4.8283137373023015
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,4.605170185988092
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,4.330733340286331
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4.890349128221754
Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,4.74493212836325
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,4.6443908991413725
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,5.752572638825633
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4.7535901911063645
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,4.718498871295094
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,5.017279836814924
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,5.25227342804663
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,4.804021044733257
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,4.700480365792417
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,3.5553480614894135
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,4.787491742782046
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,5.303304908059076
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,4.30406509320417
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4.663439094112067
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,4.736198448394496
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,5.768320995793772
Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,4.852030263919617
Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,4.605170185988092
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,4.969813299576001
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,5.214935757608986
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,4.700480365792417
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,4.382026634673881
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3.8501476017100584
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,4.31748811353631
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,4.897839799950911
Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,4.564348191467836
Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,4.477336814478207
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,3.784189633918261
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,4.969813299576001
